;LOC1.A;LOC1.a;LOC2.A;LOC2.a;LOC3.A;LOC3.a;LOC4.A;LOC4.a;LOC5.A;LOC5.a;LOC6.A;LOC6.a;LOC7.A;LOC7.a;LOC8.A;LOC8.a;LOC9.A;LOC9.a;LOC10.A;LOC10.a
1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0
2;1;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1
3;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1
4;1;1;1;0;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;1
5;1;0;0;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1
6;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1
7;1;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0
8;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1
9;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
10;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0
11;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1
12;1;1;1;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1;1;1
13;1;0;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1
14;1;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0
15;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;0;1;1;1
