VAR;TAMFLOR;LONGPET;ANCHOPET;SUPHOJA;LONANCHO;PECLIMBO;PESOF;LONGF;ANCHOF;ESPESORF;PESOEND;LONGEND;ANCHOEND
BLANCO;33,26;13,9;18,32;44,09;1,053;0,415;49,29;46,34;44,93;45,4;4,31;31,07;24,18
BULIDA;26,84;13,44;15,88;36,67;1,112;0,395;49;44,58;45,09;43,38;2,57;25,26;20,34
CURROT.T;28,84;12,68;15,44;51,72;0,912;0,389;43,04;40,06;43,54;42,97;1,62;20,13;17,62
CANINO;27,52;12,32;14,28;36,04;1,005;0,452;66,79;51,3;50,8;49,1;3,42;23,77;21,21
CANINO.T;33,88;14,4;16,4;38,97;1,058;0,311;63,11;50,7;49,22;46,82;3,34;29,09;22,86
CHIRIVEL;26,32;13,36;15,04;41,28;0,988;0,411;43,8;40,29;42,51;44,55;3,46;23,9;22,52
CORBATO;30,63;13,79;17,04;42,06;0,991;0,385;39,63;39,71;41,06;40,79;1,88;19,66;20,31
CRISTALI;27,6;13,68;17,4;53,33;1,078;0,344;44,98;40,1;42,25;46,89;2,58;20,76;19,13
CURROT;28,8;12,32;15,24;50,01;0,88;0,412;40,77;42,54;39,94;41,77;1,52;17,97;17,57
GABACHET;29,6;12,28;14,4;40,14;0,992;0,41;21,44;29,63;33,16;32,84;1,2;15,32;14,28
GANDIA;24,68;10,68;12,36;39,31;0,997;0,444;38,75;37;41,4;40,46;1,49;18,29;16,99
GINESTA;25,04;11,32;12,24;33,53;1,044;0,368;40,96;37,38;41,97;42,66;1,97;19,4;18,98
MANRI;24,08;13,2;15,48;36,88;1,017;0,42;39,39;36,14;41,05;41,62;2,02;20,01;19,36
MARTINET;35;14,4;18,24;36,94;1,019;0,436;54,7;49,33;47,54;47;4,55;31,34;22,83
PALABRAS;27,36;12;13,84;34,13;0,993;0,378;44,65;42,37;41,3;44,12;1,4;17,12;17,66
PALAU;29,34;12,56;14,63;42,03;1,023;0,405;39,65;37,4;41,39;41,43;1,53;18,49;17,73
R.CARLET;30,49;13,29;16,49;41,55;0,99;0,409;47,16;39,42;44,13;43,61;2,25;21,41;20,19
TADEO;31,72;13,43;17,08;38,51;1,161;0,4;74,16;51,55;55,54;54,34;2,78;23,16;20,45
