Chacra;1.Sup;1.RegTen;1.porc_MA;1.porc_PE;1.porc_CA;1.porc_OTRO;1.porc_SC;1.EdadPEyMA;1.MOtot;2.EmpPr;2.Comerc;2.IndPr;3.MOfam;3.MH_PR;3.MH_FP;3.Act_PR;3.MO_nofam_PER;3.MO_nofam_TEM;3.MO.PER/TOT;4.Tract;4.EdTract;4.PotTract;4.Pulv;4.EdPulv;4.CapPulv;4.Elev;4.EdElev;5.Dens;5.porc_Libre;5.porc_Esp;5.porc_SinDEF;5.porc_ASP;5.porc_CAL;5.porc_OTRO;5.porc_JOVEN;5.porc_NUEVAS;6.RendRED;6.porc_BUE;6.porc_REG;6.porc_MAL
ALL09;12;P;89,26;10,74;0;0;0;29,78;14;Si;Ambos;Si;prod;0;12;X;0,17;0,92;0,15;;;;;;;;;356,71;75,27;24,73;100;0;0;0;14,22;18,36;54,48;100;0;0
ALL21;28,96;P;53,2;46,8;0;0;0;19,32;21;No;Nac;Si;prod;6;0;N;0,17;0,52;0,25;2;80;42;2;82;1800;2;81;448,82;50,43;49,57;53,2;0;46,8;0;23,22;6,23;35,9;100;0;0
ALL26;5,38;P;43,92;56,08;0;0;0;12;3;No;No;No;prod;0;12;M;0,37;0;1;;;;;;;;;816,33;0;100;100;0;0;0;0;0;52,55;100;0;0
ALL28;7,25;P;47,49;19,64;0;0;32,88;50;12;No;No;No;prod;0;12;M;0,14;1,38;0,09;1;75;40;1;77;2000;1;80;128,21;100;0;100;0;0;0;0;0;37,57;100;0;0
ALL29;41,01;P;56,28;43,72;0;0;0;16,19;29;Si;Ambos;Si;nadie;0;0;N;0,29;0,41;0,41;2;81;53;1;72;1600;1;78;556,62;25,67;74,33;84,37;0;15,63;0;23,18;0;36,76;100;0;0
ALL30;38;D;90,73;0,97;2,29;0,09;5,92;33,93;35;Si;Ambos;Si;prod;0;12;O;0,16;0,74;0,18;2;68;46;1;83;1600;2;76;244,22;98,08;1,92;100;0;0;0;1,76;0;36,07;100;0;0
ALL32;17,95;P;53,31;30,86;15,83;0;0;15,67;1;No;No;No;nadie;0;0;N;0,06;0;1;;;;;;;;;455,78;33,62;66,38;100;0;0;0;39,44;10,29;32,76;100;0;0
ALL33;21,91;P;41,65;32,07;0;0;26,28;19,91;17;No;No;No;pr+fl;0;12;M;0,32;0,27;0,54;3;81;47;1;75;1500;1;75;585,22;47,07;52,93;0;26,73;73,27;0;23,57;10,05;53,09;100;0;0
ALL34;17,1;P;42,55;51,2;6,26;0;0;20,55;24;Si;Nac;No;prod;6;6;C;0,18;1,17;0,13;2;85;53;1;80;1600;1;80;440,82;52,07;47,93;100;0;0;0;19,36;0;46,21;63;37;0
ALL35;5,74;P;29,3;28,25;15,96;0;26,49;11,45;9;No;No;No;pr+fl;12;0;N;0,17;1,05;0,14;;;;;;;;;625;50,81;49,19;0;0;100;0;56,73;29,92;59,62;100;0;0
ALL36;52,65;P;35,71;33,11;0;0;31,19;19,41;67;Si;Nac;No;nadie;0;0;N;0,06;1,22;0,04;2;76;54;1;76;1600;3;75;263,16;92,02;7,98;15,71;0;84,29;0;12,96;7,47;43,68;95,32;4,68;0
ALL37;6,25;A;100;0;0;0;0;13;0;No;No;No;nadie;0;0;N;0;0;;;;;;;;;;714,29;50,41;49,59;100;0;0;0;23,99;71,42;41,76;100;0;0
ALL38;10,9;P;43,04;55,97;0,65;0,34;0;16,22;7;No;No;No;pr+fl;12;0;N;0,09;0,37;0,2;1;62;28;;;;1;73;675,98;49,13;50,87;100;0;0;0;63,49;27,2;49,97;100;0;0
ALL39;7,79;P;100;0;0;0;0;22;24;No;No;No;pr+fl;6;0;N;0,13;2,57;0,05;1;78;45;1;78;1500;1;78;307,69;82,05;17,95;100;0;0;0;13,85;0;59,32;100;0;0
ALL40;11,85;P;43,59;50,54;3,42;2,45;0;19,85;14;Si;No;Si;prod;12;0;N;0,08;1,01;0,08;;;;;;;;;525,72;45,25;54,75;100;0;0;0;54,48;21,95;34,79;100;0;0
ALL41;8,48;P;86,01;13,99;0;0;0;8;10;Si;Ambos;No;nadie;0;0;N;0,24;0,94;0,2;;;;;;;1;79;625;0;100;100;0;0;0;100;29,29;43,27;100;0;0
ALL43;25,09;P;62,06;34,33;3,61;0;0;21,3;21;Si;Ambos;Si;nadie;0;0;N;0,12;0,72;0,14;3;83;49;1;86;2000;1;84;446,98;70,52;29,48;56,11;0;43,89;0;46,15;26,5;34,34;100;0;0
ALL44;6,25;P;43,23;56,77;0;0;0;35,06;20;No;No;No;prod;12;0;N;0,32;2,72;0,11;3;78;52;2;77;1800;1;76;335,08;97,94;2,06;100;0;0;0;14,14;8,32;49,34;100;0;0
ALL45;34,2;P;56,34;43,66;0;0;0;20,13;23;Si;Ambos;Si;nadie;0;0;N;0,23;0,44;0,35;1;84;55;1;89;2000;1;78;294,3;55,84;44,16;0;14,71;85,29;0;23,26;23,26;48,02;100;0;0
ALL47;8;P;94,55;5,45;0;0;0;29,18;8;No;No;No;pr+fl;6;0;N;0;0,63;0;1;73;45;1;87;1600;1;85;221,43;88,11;11,89;100;0;0;0;6,44;5,7;28,06;100;0;0
ALL48;14;P;34,03;0;0;65,97;0;17;17;No;Nac;No;pr+fl;4;0;N;0,14;0,93;0,13;;;;;;;;;429,96;40;60;100;0;0;0;20,42;14,17;50,39;100;0;0
CER07;29;P;60,51;27,9;0;0;11,59;27,37;14;Si;Ambos;No;nadie;0;0;N;0,21;0,28;0,43;1;91;65;1;82;2000;1;85;328,87;69,83;30,17;15,93;0;84,07;0;0;5,4;34,11;100;0;0
CER09;27,5;P;40,47;32,26;17,81;2,07;7,39;7,67;37;No;No;No;pr+fl;7;0;N;0,18;1,09;0,14;3;79;63;2;87;2000;2;84;576,25;35,56;64,44;24,98;0;75,02;0;55,92;29,48;30,28;100;0;0
CGD09;6,5;P;100;0;0;0;0;38;14;No;No;No;prod;12;12;X;0,31;1,54;0,17;1;65;45;;;;;;339,35;66,92;33,08;100;0;0;0;1,71;28,64;25,23;94,28;5,72;0
CGD11;42;P;62,26;19,27;0;0;18,47;10;93;Si;Ambos;No;nadie;0;0;N;0,14;2,07;0,06;2;79;50;1;82;1600;2;73;689,19;24,6;75,4;0;0;100;0;39,7;0;30,45;100;0;0
CGD12;81;P;72,32;27,68;0;0;0;25,06;373;Si;Ambos;No;nadie;0;0;N;0,23;4,37;0,05;3;78;52;2;90;2000;3;78;327,51;91,69;8,31;12,52;23,96;63,52;0;8,84;12,32;39,56;100;0;0
CGD13;12;P;100;0;0;0;0;29;21;Si;Ambos;No;nadie;0;0;N;0,08;1,67;0,05;1;73;45;1;88;2000;1;75;328,51;92,1;7,9;100;0;0;0;5,66;2,16;24,92;100;0;0
CGD14;22,4;P;87,49;12,51;0;0;0;31,87;19;No;No;No;prod;3;21;X;0,09;0,67;0,12;1;77;96;1;82;1600;1;77;237,73;95,97;4,03;100;0;0;0;7,78;0;26,33;90,76;7,59;1,65
CHI06;18,23;P;49,22;43,13;0;0;7,65;31,8;11;No;No;No;prod;12;0;X;0;0,44;0;;;;;;;;;225,11;100;0;0;100;0;0;0;0;29,99;100;0;0
CHI07;8;P;85,48;14,52;0;0;0;16,71;9;No;No;No;pr+fl;12;0;N;0;0,75;0;1;74;45;1;76;1500;1;76;571,91;0;100;100;0;0;0;0;0;51,9;100;0;0
CIP21;10,6;P;42,03;21,74;0;0;36,23;17,25;4;No;No;No;pr+fl;12;0;N;0;0;;1;66;35;1;75;1600;1;78;435,61;24,24;75,76;100;0;0;0;9,66;9,66;34,92;100;0;0
CIP22;9,67;D;80,78;19,22;0;0;0;24,23;13;No;No;No;prod;12;0;N;0;1,24;0;1;69;25;1;78;1500;1;75;357,53;67,46;32,54;10,88;0;89,12;0;13,97;10,88;33,48;100;0;0
CIP23;7,5;P;88,27;11,73;0;0;0;30,83;20;No;No;No;pr+fl;12;0;N;0,27;2,13;0,11;1;80;40;1;86;1600;1;79;323,99;83,65;16,35;0;0;100;0;29,63;17,46;43,87;100;0;0
