Sitio;cuenca;CE;PH;ALT;PRS;FE;SI;DU;ALC;PEH;Flia01;Flia02;Flia03;Flia04;Flia05;Flia06;Flia07;Flia08;Flia09;Flia10;Flia11;Flia12;Flia13;Flia14;Flia15;Flia16;Flia17;Flia18;Flia19;Flia20;Flia21;Flia22;Flia23;Flia24;Flia25;Flia26;Flia27;Flia28;Flia29;Flia30;Flia31;Flia32;Flia33;Flia34;Flia35;Flia36
Sitio01;L;120,7;8,27;646;16,1;0,05;19;37,5;43;138;2;5;0;25;0;0;0;0;0;0;0;0;11;4;0;0;25;79;0;26;0;15;0;0;0;5;29;0;4;0;1;26;0;92;0;7
Sitio02;L;101,4;7,94;643;0,9;0,01;14;40,9;41;152;0;0;0;31;0;1;0;0;0;0;0;0;0;5;3;3;47;199;3;0;2;8;0;5;0;1;11;0;0;5;0;48;0;81;0;0
Sitio03;L;71,1;7,78;657;0,9;0,03;10,4;19,9;24,5;158;0;13;0;302;0;0;0;0;0;0;0;2;1;23;0;0;82;114;0;86;5;48;0;0;0;11;7;7;25;32;10;64;21;74;3;0
Sitio04;P;144,2;7,69;819;11,1;0,02;23,6;64,6;70;100;9;0;0;9;0;1;6;0;0;0;0;0;1;0;0;0;0;1;0;3;3;0;0;0;0;2;0;0;9;5;0;12;0;14;0;4
Sitio05;P;114,1;7,89;772;15,3;0,1;24,4;57,4;65,5;166;4;0;0;18;0;0;0;0;0;0;0;0;0;2;0;0;7;82;0;6;13;9;1;0;0;0;0;0;69;29;0;91;0;50;0;0
Sitio06;P;149,5;7,73;769;19,9;0,1;22,5;49;49;115;0;2;11;119;0;0;3;0;0;0;0;0;3;12;0;0;52;137;0;34;5;6;5;0;0;26;0;0;42;43;0;103;0;61;0;5
Sitio07;P;75,6;7,38;769;4,4;0,07;14,9;18,7;25;137;12;0;3;34;36;0;0;0;0;0;0;0;2;0;0;0;62;31;0;12;0;0;12;0;0;2;0;0;6;3;0;85;0;81;0;19
Sitio08;P;108,1;7,32;725;7,5;0,27;23,4;43,5;52,5;109;5;0;0;107;0;0;0;0;0;0;0;0;0;0;9;0;29;27;0;3;0;0;0;0;0;0;13;0;65;0;0;7;0;84;0;0
Sitio09;P;147,5;7,64;725;4,2;0,37;21,1;45,4;49;104;0;1;5;142;0;3;0;0;1;0;2;4;4;0;5;11;29;152;0;21;0;0;0;0;0;0;2;0;17;2;0;38;0;62;0;0
Sitio10;P;108,6;7,41;719;207;0,22;27,8;48,3;68;113;11;0;109;145;0;16;2;0;0;0;5;0;3;0;1;0;0;10;0;8;0;16;5;0;0;23;2;0;4;0;0;0;0;16;0;0
