Población;LMZ1;DMZ1;AGR1;LGR1;PROL1;GRXM1;PESO_10001;REND1;ALTPL1;ALTMZ1;LMZ2;DMZ2;AGR2;LGR2;PROL2;GRXM2;PESO_10002;REND2;ALTPL2;ALTMZ2
152;16,6;39,95;7,1;7,8;0,78;1576,6;270,5;4267;178,25;107,75;16,95;41,25;8,6;10,5;0,95;2762,1;282;7843,9;154,5;92,25
151;16,1;39,25;7,3;6,3;0,905;1754,1;253;4440,9;153,5;87,25;15,4;38,4;8,3;9,4;0,99;2223,6;259,5;5760,2;138;86,5
102;17,2;43,7;6,8;8;0,99;2651,9;294,5;7803,1;157;89,75;17,35;42,5;8,3;10;1,12;2975,6;294,5;8777,5;148,75;86,75
98;17,8;43;7,4;7,4;0,915;2369,6;308,5;7302,3;165,5;98;18,05;44,5;8,4;10,2;0,9;2813,7;314,5;8881,2;141,25;86
92;15,85;42,35;8;7,6;0,94;2135,2;318,5;6790,8;174;102,5;16,15;41,15;8,7;9,9;1,04;2464,9;335;8256,3;144;83,75
90;15,95;43,7;7,6;6,6;0,925;1554,1;298,5;4644,6;148,5;86;18,5;45,1;9,6;10,2;1,08;2394;285;6820,3;139,5;84,25
87;17,15;43,85;7,7;7,4;0,85;2655,2;299,5;7951,1;178,25;111;18,55;45,65;8,7;10,4;0,965;2673,8;304,5;8141,8;142,25;84,25
86;16,75;43,9;7,3;7;1;2561,4;297;7603,4;163,25;93,25;16,55;43;8;9,5;0,96;2968,8;281;8373,9;155,75;92,75
82;15,95;44,25;7,2;7,9;0,865;2353,6;307;7155;161,25;94,25;16,15;45,2;8,8;10,9;1,01;2489,7;307;7642,2;145,5;93
62;15,15;35,65;7,8;6,8;0,99;1464,9;259,5;3805;162,25;91,75;17,55;35,95;9,1;8,9;0,945;1804,2;275,5;4968,4;138,75;74,5
61;18,05;34,45;7,3;6,7;0,99;1654,6;313;5148,8;150,25;88;18,7;36,75;9,4;9,7;1,025;2128,4;291,5;6202,9;154,25;94,5
47;14,8;39,8;7,5;7,9;0,705;1289,8;208;2695,6;152;87,5;15,95;42,35;8,1;9,9;1,05;2104;211,5;4443,7;152,5;96,5
45;17,35;42,6;7,5;7,6;0,915;1827,1;274;4995,5;162,5;104,5;17,7;43,3;8,5;9,5;0,91;2239,8;268,5;6014,8;140;82,75
44;14,95;34,5;5,6;5,7;0,645;889,54;184;1616,9;126,25;71,75;15,2;37,25;7,7;8,8;0,695;1307;205;2677,3;155;98
43;16,7;43,4;10;8,9;0,945;1409,9;303;4271,8;150,5;91,75;16,95;43,3;10;9,7;0,875;1731,7;319;5523,9;144,5;89,25
40;15,65;41,2;8,6;8,6;0,94;1784,9;276,5;4937,6;162,25;103;17;41,3;8,7;9,8;1,03;2267;264,5;5992;152,75;97
39;15,8;41,65;8,2;7,6;1,01;2447,8;302,5;7385,6;168,75;103;16,95;42,95;8,9;10,5;1,09;2863,8;297,5;8523,3;147,5;90,75
38;16,85;43,2;6,8;6,9;1,025;1926,8;313,5;5970,6;171;113,5;15;41,5;8;9,2;1,185;2757,6;279;7693,6;148;96
28;16,25;43,75;7,8;8,3;1,095;2015,7;314,5;6333,4;179,75;111,75;17;43;9,1;10,3;1;2397;307;7363,2;153,5;94
27;17,1;41,55;9;8,1;0,99;1828,9;299,5;5448,5;169,5;104,25;17,25;40,95;8,9;10,6;1,08;2338;304;7098,7;151,25;90,25
26;15,55;41,2;7,4;6,5;0,985;1781,1;302,5;5384,8;155,75;81,5;16,7;42,4;9,4;10,3;1;2130,1;296,5;6323,4;143,25;83,75
25;15,4;40,8;8,2;7,7;0,89;1618,1;286;4626,9;153;90,75;16,9;41,1;9,4;10,1;1,095;2155,4;309;6652,2;139,5;86,25
22;15,55;39,4;7,6;6,9;0,85;1608;253;4083,5;174,5;103;16,55;41,4;9,3;9,6;1,15;2452,1;287;7038;124,25;67,75
21;16,2;39,45;7,8;7,1;1,095;1849,3;340;6320,8;176,5;110,5;16,2;40,15;9,4;9,7;1,015;2113;308,5;6517,7;140,75;78,25
20;16,15;40,7;8,5;7,6;0,945;1899,3;286;5443,7;154,5;90,25;16,3;41,65;9,1;10,1;1,19;2650,2;289,5;7676,8;140,75;91,25
19;16,3;38,25;6,7;7,6;0,95;1712,7;254,5;4368,4;164,25;89;16,6;40,05;8,4;10;1,11;2408,7;257,5;6205,9;145,5;78
17;14,7;40,75;7,8;9,3;0,775;1639,2;238;3888,8;161,5;95,75;15,35;40,75;7,8;9,5;1,105;2602,1;256;6681,5;151,5;81,5
16;16,1;40,95;7,8;7,6;1,14;2112,5;267,5;5651,6;164;98,75;15,65;42;8,6;9,6;1,31;2757,2;273,5;7524,2;132,5;73,5
15;14,25;40,8;8,5;8,7;0,98;1652,5;227,5;3780,5;157,25;90,75;16,65;40,85;8,4;9,8;0,955;2152,3;250;5381,9;131;71
12;15,1;39,75;7,5;6,5;0,9;1793,7;259,5;4650,8;174,75;113,25;15,95;40,6;8,5;9,9;0,86;1775,3;259;4582,3;146;86,25
3;15,8;40,15;8,5;7,3;0,91;1763,5;289;5097,6;178,25;108;15,95;41,85;9,1;10,1;0,84;1786,5;313;5595,4;125,5;76,75
