Poblacion;LMZ;DMZ;AGR;LGR;PROL;GRXM;PESO_1000;REND;ALTPL;ALTMZ
152;16,6;39,95;7,1;7,8;0,78;1576,6;270,5;4267;178,25;107,75
151;16,1;39,25;7,3;6,3;0,905;1754,1;253;4440,9;153,5;87,25
102;17,2;43,7;6,8;8;0,99;2651,9;294,5;7803,1;157;89,75
98;17,8;43;7,4;7,4;0,915;2369,6;308,5;7302,3;165,5;98
92;15,85;42,35;8;7,6;0,94;2135,2;318,5;6790,8;174;102,5
90;15,95;43,7;7,6;6,6;0,925;1554,1;298,5;4644,6;148,5;86
87;17,15;43,85;7,7;7,4;0,85;2655,2;299,5;7951,1;178,25;111
86;16,75;43,9;7,3;7;1;2561,4;297;7603,4;163,25;93,25
82;15,95;44,25;7,2;7,9;0,865;2353,6;307;7155;161,25;94,25
62;15,15;35,65;7,8;6,8;0,99;1464,9;259,5;3805;162,25;91,75
61;18,05;34,45;7,3;6,7;0,99;1654,6;313;5148,8;150,25;88
47;14,8;39,8;7,5;7,9;0,705;1289,8;208;2695,6;152;87,5
45;17,35;42,6;7,5;7,6;0,915;1827,1;274;4995,5;162,5;104,5
44;14,95;34,5;5,6;5,7;0,645;889,54;184;1616,9;126,25;71,75
43;16,7;43,4;10;8,9;0,945;1409,9;303;4271,8;150,5;91,75
40;15,65;41,2;8,6;8,6;0,94;1784,9;276,5;4937,6;162,25;103
39;15,8;41,65;8,2;7,6;1,01;2447,8;302,5;7385,6;168,75;103
38;16,85;43,2;6,8;6,9;1,025;1926,8;313,5;5970,6;171;113,5
28;16,25;43,75;7,8;8,3;1,095;2015,7;314,5;6333,4;179,75;111,75
27;17,1;41,55;9;8,1;0,99;1828,9;299,5;5448,5;169,5;104,25
26;15,55;41,2;7,4;6,5;0,985;1781,1;302,5;5384,8;155,75;81,5
25;15,4;40,8;8,2;7,7;0,89;1618,1;286;4626,9;153;90,75
22;15,55;39,4;7,6;6,9;0,85;1608;253;4083,5;174,5;103
21;16,2;39,45;7,8;7,1;1,095;1849,3;340;6320,8;176,5;110,5
20;16,15;40,7;8,5;7,6;0,945;1899,3;286;5443,7;154,5;90,25
19;16,3;38,25;6,7;7,6;0,95;1712,7;254,5;4368,4;164,25;89
17;14,7;40,75;7,8;9,3;0,775;1639,2;238;3888,8;161,5;95,75
16;16,1;40,95;7,8;7,6;1,14;2112,5;267,5;5651,6;164;98,75
15;14,25;40,8;8,5;8,7;0,98;1652,5;227,5;3780,5;157,25;90,75
12;15,1;39,75;7,5;6,5;0,9;1793,7;259,5;4650,8;174,75;113,25
3;15,8;40,15;8,5;7,3;0,91;1763,5;289;5097,6;178,25;108
