;DFLORMASC;DFLORFEM;ALTPLA;ALTMAZ;NROTOHOJ;NROHOJARR;ANCHHOJMAZ;LARGOHOJMAZ;DIAMTALLO;POSHOJA;COLTALLO
M1;84;89;258;172,8;16,2;6;9,4;91,5;28,5;Nor;Ver
M2;81;91;263;185,5;16,6;5,5;9,9;85,5;30,6;Nor;RSD
M3;86;91;274,5;189,5;17,1;5,7;9,4;93,5;31,2;Nor;Ver
M4;79;87;205,5;131,5;14;5,8;10,05;88,5;28,3;Erg;Ver
M5;86;91;277;180;17,1;5,9;8,58;98,33;30,1;Erg;Ver
M6;83;87;238,25;165,35;15,45;5,65;8,58;90,3;26,45;Erg;Ver
M7;80;87;221,7;157,8;14,9;4,9;8,71;81,43;26,7;Nor;Ver
M8;69;74;148,3;80,9;13,3;5,5;7,9;64,6;21,7;Nor;Ver
M9;86;92;276;185,5;17;5,3;9,1;92,5;31,8;Erg;Ver
M10;86;93;293,5;206,7;17,1;5,8;9,75;94,5;31,6;Erg;Ver
M11;70;70;123,2;69,5;10,5;4,3;7,17;73,44;20,6;Nor;Pur
M12;80;92;219,5;141;14,5;5,2;8,85;78,5;28,8;Nor;Ver
M13;84;90;241;154,5;15,4;5,5;9,25;84,5;29,3;Nor;Ver
M14;74;79;157,5;87,5;12,2;5;9,05;80,5;25,1;Nor;RSD
M15;72;81;182,5;106;13;5,2;8,95;79,5;28,2;Nor;Pud
M16;71;76;145;69;11,1;4,9;9,4;84;25;Erg;RSD
M17;93;102;252,78;165;16,9;6,2;9,67;90;37,67;Nor;Ver
M18;70;75;158,5;85,5;11,9;5,2;9,6;78;26,7;Erg;Ver
M19;78;84;209,2;132,9;14;5,2;9,7;86,3;25,6;Erg;RSD
M20;80;93;174,5;102,5;13,4;5,4;9,13;82,5;28,9;Erg;RSD
M21;81;91;205,5;124,5;14,6;5;8,38;83,75;28,5;Nor;Ver
M22;79;86;229;135,7;14,1;5,8;10;90;26,9;Nor;Ver
M23;86;92;225;145,5;15,1;5,5;8,33;78,33;32,6;Nor;RSD
M24;84;90;218;134,5;15,2;5,8;8,88;80;32,4;Nor;Ver
M25;91;98;216,5;146,5;14,7;4,6;8,5;65;30,1;Nor;Ver
M26;84;89;160,5;93,3;12,4;4,4;7,95;77,2;22,1;Nor;RSD
M27;83;93;229,2;155,4;15,6;5,4;9,64;87,14;30,7;Nor;Ver
M28;84;91;239,5;163,1;15,8;5,2;8,6;83,5;29,4;Erg;RSD
M29;79;87;225;146,7;16,1;6,1;8,65;85;27,1;Erg;Ver
M30;86;94;244;160,5;16,5;5,3;9,44;79,44;30,2;Nor;Ver
M31;84;98;217;147,5;15,7;5;9,56;79,38;30,5;Nor;Ver
M32;87;91;199,7;118,1;14;5,7;10,5;90;30,2;Nor;Ver
M33;87;92;193,4;118,4;15,1;5,9;10,67;76,67;31,2;Erg;Ver
M34;87;90;224,1;139,4;14,2;5,3;7,65;102,8;22,8;Nor;Ver
M35;83;88;232,7;155,6;14,5;5,5;7,9;97,6;24,9;Nor;Ver
M36;69;74;157,5;81;11,4;4,8;9,65;80;27,7;Erg;RSD
M37;68;72;117,5;48,5;10;5,1;7,75;73,5;23,6;Vol;RSD
M38;85;92;207,5;121,5;13,3;5,2;9,75;87,5;30,3;Erg;RSD
M39;82;89;201;125,7;14,1;5,4;7,81;80,88;26,3;Nor;Ver
M40;80;84;249,1;164,8;15,5;5,6;8,55;89,7;27,6;Nor;Ver
M41;87;94;230,63;134,38;14,38;5,5;12;100;32;Nor;RSD
M42;91;101;232;151;15,7;5,4;10,5;90;30,8;Erg;RSD
M43;85;91;173,89;99,44;12;4,89;9,67;76,67;28,56;Nor;Ver
M44;76;82;141,5;68;10,7;5,2;7,85;78;26,4;Erg;RSD
M45;86;94;215;143,3;14,8;5,4;8,4;79,5;27,6;Nor;RSD
M46;85;91;232,5;149;15,6;5,7;8,69;88,13;30,4;Erg;Ver
M47;74;78;179,5;123,1;13,6;4,7;9,1;80,5;25,3;Erg;Ver
M48;82;89;232,6;154,3;16;5,6;8,05;94,1;25,4;Nor;Ver
M49;85;90;245,5;158,6;16;6,1;9,7;96;27,6;Nor;Ver
M50;84;90;236,7;159,2;15,1;6,4;8,35;95,2;25,9;Nor;Ver
M51;79;87;244,5;159,5;16;5,6;9,67;81,78;31,1;Erg;Ver
M52;80;85;213;138,5;15,8;5,5;8,69;79,38;29,1;Erg;Ver
M53;80;86;216,5;144;14,6;5,3;9,43;89,29;25,8;Erg;Ver
M54;81;94;190;94,5;13,8;6,3;9,05;82,5;29,1;Erg;Pur
M55;80;87;168,5;97;12,9;5;8,94;81,25;26,9;Nor;RSD
M56;69;73;125,3;63,9;10,3;3,7;8,25;70,75;23,6;Nor;Ver
M57;72;78;155;78;10,3;4,9;7,71;71,43;25,3;Nor;RSD
M58;70;70;152;80,5;11,1;4,7;7,4;65;23,2;Nor;RSD
M59;79;92;213;127,5;15;5,2;9;90;28,6;Nor;Ver
M60;73;80;178;102;13,4;5,4;9,15;84,5;26,3;Erg;RSD
M61;76;87;165,5;93;12,3;4,7;9,42;80;30,2;Nor;RSD
M62;69;76;146,2;61,5;10,2;5,7;8,56;77,78;24,7;Nor;Ver
M63;76;82;169,5;83,5;11,7;5,5;8,7;74;30,1;Nor;Roj
M64;72;78;126,8;76,2;10,5;3,7;6,55;61,8;17,2;Nor;Ver
M65;79;84;179;116,7;13,4;5,1;8,45;75;22,9;Erg;Ver
M66;75;81;144;68,5;11,6;5,2;8,64;78,57;27,5;Erg;RSD
M67;80;86;195,5;112,5;13;4,6;10;86,25;32,3;Nor;RSD
M68;70;76;137,5;67;10,9;4,9;9,17;75,56;26;Nor;Ver
M69;80;93;212,2;134,2;14,1;5,1;9,4;85;31,8;Erg;Ver
M70;69;76;159,6;79,2;10,2;4,5;8,78;86,11;25,2;Erg;Ver
M71;71;80;126,5;59,7;10,3;4,2;9;75,83;28,3;Nor;Ver
M72;92;99;227,5;144,8;14,8;5,8;10,06;90,5;36,7;Nor;Pud
M73;79;92;175,63;102,5;12,88;5;9,25;81,25;34,38;Nor;RSD
M74;71;81;150;81;10,6;4,8;8,5;77,78;24,3;Nor;RSD
M75;82;89;170;95,56;12,89;5,11;9,8;76;29,56;Nor;Ver
M76;76;89;183,5;98,5;13,3;5,6;9,19;82,5;26,9;Nor;RSD
M77;75;82;164;91;11,5;5,1;8,3;80;28,2;Nor;RSD
M78;76;84;175,5;104,5;12,6;5;9;77,5;26,6;Nor;Ver
M79;73;79;146;80,5;12,1;4,7;8,95;70,5;27,2;Erg;RSD
M80;88;94;245,5;162,5;15,9;5,3;9;81,5;30,5;Vol;RSD
M81;79;91;154;86,5;12,3;5,4;8,83;76,11;27,5;Nor;Ver
M82;76;86;165;92,5;12,1;4,7;8,79;80;27,7;Erg;RSD
M83;71;79;165,5;85;12,4;5,5;8,4;77,5;27,2;Nor;RSD
M84;81;93;197,5;118,8;15;5,8;9,1;90;28,8;Nor;Ver
M85;76;85;162;85;12,5;5;9,81;80;30,5;Erg;RSD
M86;80;92;184;114,5;13,6;4,9;9,75;82,5;26,5;Nor;Ver
M87;66;69;97;49,6;8,9;3,1;7,63;64;23,7;Erg;Ver
M88;84;93;174,2;115,5;13;4,9;9,33;85,83;29,7;Nor;Pud
M89;81;94;191,5;109;13,3;5,2;8,83;81,67;28,4;Nor;Ver
M90;71;76;148;83;12,8;5,2;8;75,5;21,2;Nor;RSD
M91;72;85;153;77;11,1;4,5;8,9;84;29,5;Erg;RSD
M92;91;96;274;186,1;16,3;5,7;9,56;89,1;28,8;Nor;Ver
M93;76;92;199,5;117,5;13,9;5,4;9,65;86,5;28,7;Nor;Ver
M94;61;63;105,5;51;8,8;3,7;6,15;63,7;20,8;Nor;RSD
M95;98;102;274;177,5;17,8;6,7;10,17;105;32,6;Erg;Ver
M96;95;100;276;176,5;18;6,7;9,36;103,57;32,1;Erg;Ver
M97;96;101;280;190;17,9;6,7;9,88;96,25;32,3;Erg;Ver
M98;92;98;309;199;19,4;6,8;10,05;99,5;34,1;Nor;Ver
M99;74;79;184,4;113,8;13,8;5,2;8,7;89,6;25;Erg;Ver
M100;93;98;217,14;146,43;14,71;5,29;10;100;33,71;Erg;Ver
M101;76;80;138,75;68,13;11,38;5,13;8,5;70;25,63;Nor;RSD
M102;81;91;168,5;101;12,8;6,1;9,29;83,57;28,9;Erg;RSD
M103;86;89;251;167,6;16,8;6,5;9,6;94;32,2;Nor;Ver
M104;80;84;282,5;193,5;17,2;6,2;10,05;92,5;30,3;Erg;Ver
M105;90;94;252,7;161,5;16,7;5,9;9,65;96,9;32,5;Erg;Ver
M106;78;84;216,4;143,8;15;5,3;10,15;86,1;29,7;Erg;Ver
M107;91;93;318,2;202,4;18,6;7,1;9,31;105,25;31;Nor;Ver
M108;86;89;268,5;183,4;16,4;5,5;9,5;92,5;31,8;Erg;Ver
M109;80;84;225,7;149,9;15,9;5,8;9,6;91,5;27,5;Nor;RSD
M110;88;95;269,5;177;17,3;6,7;9,5;103;35;Nor;RSD
M111;92;101;275;171,5;17,4;7,2;10,7;98;35,1;Erg;RSD
M112;80;86;279;202,5;17,9;5,9;9,25;79,5;32,7;Nor;Ver
M113;71;75;258;178,5;16;5;9,25;87,5;29;Nor;Ver
M114;72;76;141,5;87,7;10,3;4,3;7,92;87;25,1;Erg;Ver
M115;84;90;258,9;182,8;16,2;5,2;9,25;88,5;28,9;Nor;Ver
M116;91;95;264,5;181,5;17,5;5,5;9,33;83,33;30,8;Nor;Ver
M117;82;87;236;145,5;15,9;6;9,33;95,56;29;Erg;Ver
M118;92;102;299,5;209,5;18,1;6,3;10,21;102,14;34,5;Erg;Ver
M119;73;78;177,5;119,5;13,4;4,7;8,45;79,5;25,4;Nor;Ver
M120;75;79;195,1;127,6;13,9;4,8;9,11;84,89;24,5;Nor;Ver
M121;71;78;164;99,1;12,5;4,5;8,2;80,7;23,7;Nor;Ver
M122;76;84;174,5;105,5;12,6;4,8;8,4;75,5;23,8;Nor;Ver
M123;65;72;122,5;61,2;9,3;4,1;7,39;69,44;20,6;Nor;RSD
M124;74;79;182,7;110;12,2;4,4;8,5;73,86;27,2;Nor;RSD
M125;72;76;158,8;96;11,6;4,7;9,05;72,2;24,5;Nor;RSD
