poblaciones;DIAMTAL;ALTPL;LONGHO;ANCHOHO;LONGPEC;LONGPAN;LONGGLO;DSBF;DSFL;DSMF;AX;CEstrias;CTallo;PoRAMA;CFA;Cco;TP;FP
AL420;4,161;34,36;37,99333333;33,57333333;16,44666667;148,5;7,468;18;39;115;AxNo;CEstAm;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPAma
AL426;3,359;29,2;36,68333333;32,75333333;16,87666667;120,6;5,121;21;36;88;AxNo;CEstRo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPGlom
AL427;2,926;23,2;65,53333333;46,20666667;36,09666667;50,74;6,912;18;33;123;AxSi;CEstRo;CTaVe;PoRaBa;CFAbl;CcoGr;TPNoDif;FPGlom
AL431;3,369;33,02;48,31666667;37,99333333;31,37;144;6,505;21;42;124;AxNo;CEstRo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPGlom
AL432;3,877;41,42;55,31333333;36,77;21,23666667;116,212;5,705;23;41;120;AxSi;CEstRo;CTaVe;PoRaOb;CFAbl;CcoAm;TPNoDif;FPGlom
AL438;2,803;28,18;66,64333333;45,54;34,02833333;114;11,148;18;36;93;AxSi;CEstRo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPGlom
VA256;5,651;87,55;58,67;54,163;40,359;203,5;5,157;28;48;163;AxNo;CEstNo;CTaVe;PoRaOb;CFAbl;CcoBl;TPNoDif;FPGlom
VA465;4,719;72,8;40,296;30,212;26,274;239,3;7,511;52;64;157;AxSi;CEstPu;CTaPu;PoRaOb;CFApu;CcoAm;TPDif;FPAma
VA466;4,314;48,4;33,299;26,385;16,962;177,5;7,898;52;64;157;AxSi;CEstPu;CTaPu;PoRaOb;CFApu;CcoAm;TPDif;FPAma
VA468;5,952;104,6;55,116;40,928;35,046;330,5;8,259;39;83;217;AxNo;CEstRo;CTaVe;PoRaOb;CFAbl;CcoBl;TPNoDif;FPGlom
VA482;5,236;100,8;48,65777778;37,04555556;32,73444444;261;10,807;39;69;162;AxNo;CEstAm;CTaVe;PoRaBa;CFAbl;CcoAm;TPNoDif;FPGlom
VH212;6,241;151,85;75,39;66,805;42,685;299;11,666;69;93;185;AxNo;CEstNo;CTaVe;PoRaBa;CFAbl;CcoAm;TPDif;FPGlom
VH451;6,851;140,15;73,444;70,386;41,251;265;8,964;66;87;177;AxNo;CEstNo;CTaVe;PoRaBa;CFAbl;CcoAm;TPDif;FPGlom
VH456;6,727;153,15;59,653;61,506;35,15;315,5;11,889;64;78;173;AxNo;CEstAm;CTaVe;PoRaOb;CFAbl;CcoAm;TPDif;FPAma
VH458;6,101;158,05;74,595;66,103;48,505;314,5;9,944;71;95;180;AxSi;CEstPu;CTaVe;PoRaBa;CFApu;CcoPu;TPDif;FPGlom
VH461;6,201;155,2;59,653;61,506;35,15;315,5;11,889;51;76;170;AxNo;CEstNo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPGlom
VH463;7,178;155,97;73,12;63,383;40,977;394,5;7,178;51;69;163;AxNo;CEstNo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPGlom
VS58;7,775;145,5;78,185;54,786;48,102;448,5;10,449;31;69;170;AxSi;CEstAm;CTaVe;PoRaOb;CFAbl;CcoAm;TPDif;FPAma
VS60;6,376;97,36;82,71;73,25;35,82333333;314;11,185;36;55;158;AxNo;CEstAm;CTaVe;PoRaOb;CFAbl;CcoAm;TPDif;FPGlom
VS182;6,849;102,4;94,40666667;67,13333333;32,75;324;11,58;37;71;155;AxNo;CEstAm;CTaVe;PoRaBa;CFAbl;CcoAm;TPDif;FPGlom
VS183;8,393;173,1;74,182;62,383;43,897;560;10,049;57;71;178;AxSi;CEstRo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPGlom
VS231;8,454;167,57;81,522;72,132;56,312;430,5;9,517;39;67;163;AxNo;CEstRo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPAma
VS252;7,596;147,1;65,643;54,466;51,717;407,3;9,267;48;64;165;AxNo;CEstRo;CTaVe;PoRaNo;CFAbl;CcoAm;TPDif;FPAma
VS414;6,377;130;74,01666667;54,29666667;36,88;343;11,58;51;77;160;AxSi;CEstPu;CTaRo;PoRaOb;CFApu;CcoMar;TPDif;FPAma
