Var;B01;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;B32;B33
A1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0
A2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;1
A3;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0
A4;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0
A5;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0
A6;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
A7;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
A8;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
F1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0
F2;1;1;0,25;1;0;0,25;0,75;0,75;0;0;0;0;0,75;0,75;1;0;0;0;0;1;0,75;0;0;0;0,75;0,75;0,75;0;1;1;0;1;0
F3;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0
F4;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0
F5;0,5;1;0;1;0,5;0;1;1;0;0;1;0;1;0;1;1;0;1;0,5;1;1;0;1;0,33;1;0;0,17;0;1;1;0;1;0,83
F6;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1
F7;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0
F8;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1
F9;0,5;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0,25;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0
F10;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0
F11;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0
H1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0
H2;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0
H3;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0
H4;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0
H5;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1
H6;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1
H7;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
H8;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
H9;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0
H10;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0
H11;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0
H12;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0
H13;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0
H14;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
H15;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
P1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0
P2;1;1;1;0;0;0;0,5;0,5;1;0,25;0;0;0,5;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0
P3;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0
P4;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0
P5;0;0,17;0,5;0;0;0;0,5;0,5;0;0;0;0;0;0;1;0;0;0;0;0;0;0,17;0;0;1;0;1;0,83;0,33;0,83;0;1;0
P6;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;1;1
P7;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0,5;1;0;0;0;0;1;0;1;1;1;1;0,5;1;0,75
