"","RDA1","RDA2"
"Sitio01",0.227474815585266,-0.224831972082966
"Sitio02",0.227268366327737,-0.246520167715705
"Sitio03",0.0870582355166759,-0.0313350730430766
"Sitio04",0.0755992317059862,0.346890171364364
"Sitio05",0.282764919649671,0.113023638084963
"Sitio06",0.161933936318977,0.0310245508856083
"Sitio07",0.142260016323446,-0.0793931790332479
"Sitio08",0.0136251133002024,-0.251126844909091
"Sitio09",0.0542708904958586,-0.2479396824128
"Sitio10",-0.357515577151499,-0.00239892501856522
"Sitio11",-0.424655281029067,-0.0639052480605227
"Sitio12",-0.408405407149311,-0.0673961268079695
"Sitio13",-0.559345773852341,0.0426008797104214
"Sitio14",-0.522414342922001,0.0621269404163349
"Sitio15",-0.574639016064622,0.0344865317777848
"Sitio16",0.226283582545633,0.198121997720083
"Sitio17",0.23078562536503,0.562673855220699
"Sitio18",0.108933714140625,0.10046923209069
"Sitio19",0.121661829389753,0.32551550526461
"Sitio20",0.307690538541487,-0.243375867512033
"Sitio21",0.116975410103939,-0.20065124040903
"Sitio22",0.186940945637439,0.335755798027402
"Sitio23",0.153310038498804,0.351417812253109
"Sitio24",0.134231019137391,0.018623070716418
"Sitio25",0.181313489401045,-0.242358937107626
"Sitio26",0.323951600646831,-0.317853781829287
"Sitio27",0.15308904034306,-0.155824529250043
"Sitio28",-0.370267072079033,-0.0698551815445011
"Sitio29",-0.300179888726983,-0.0779632267960239
